weights,accuracy,f1
0.0,0.35714285714285715,0.3835616438356164
0.1,0.5714285714285714,0.625
0.2,0.5857142857142857,0.6419753086419753
0.30000000000000004,0.5857142857142857,0.6419753086419753
0.4,0.5857142857142857,0.6419753086419753
0.5,0.5857142857142857,0.6419753086419753
0.6000000000000001,0.5857142857142857,0.6419753086419753
0.7000000000000001,0.5857142857142857,0.6419753086419753
0.8,0.5857142857142857,0.6419753086419753
0.9,0.5857142857142857,0.6419753086419753
1.0,0.4714285714285714,0.6407766990291263
