metric,mean_ms,std_ms,speedup_vs_cosine,slowdown_vs_cosine
cosine,0.23603235000166478,0.04274430401696377,1.0,1.0
xi,0.4732324299999391,0.0533642014371228,0.49876621938546173,2.0049473302985854
xi_symmetric,0.917524129998526,0.03314327145871436,0.25724920172077,3.8872812561161827
hybrid_0.3,1.1861971000035965,0.09815293375217105,0.19898240351535942,5.025570011887057
hybrid_0.5,1.2129151900003876,0.08591350545644817,0.1945992200836312,5.138766741049829
hybrid_0.7,1.189593790001311,0.10445909366440646,0.1984142418912633,5.039960793479879
